# CheckpointId Step Loss AvgAUC
7.000000000000000000e+00 1.170000000000000000e+04 2.022447824478149414e+00 8.880208804516911414e-01
6.000000000000000000e+00 1.050000000000000000e+04 1.962778925895690918e+00 8.847257398994308186e-01
1.000000000000000000e+00 3.300000000000000000e+03 1.922910064458847046e+00 8.825877007493371229e-01
3.000000000000000000e+00 9.000000000000000000e+03 1.980733901262283325e+00 8.816777386563950936e-01
5.000000000000000000e+00 8.700000000000000000e+03 1.951697140932083130e+00 8.803865966189020620e-01
8.000000000000000000e+00 9.900000000000000000e+03 1.981840491294860840e+00 8.802283089372595626e-01
2.000000000000000000e+00 6.000000000000000000e+03 2.031654387712478638e+00 8.765727598666023246e-01
9.000000000000000000e+00 1.140000000000000000e+04 2.016823112964630127e+00 8.759967061716814607e-01
4.000000000000000000e+00 1.320000000000000000e+04 1.949349433183670044e+00 8.757827523085486288e-01
0.000000000000000000e+00 1.350000000000000000e+04 2.050908505916595459e+00 8.751379886650740847e-01
